Date,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
2019-07-01,0,267,4,0.0149812734082397,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
2019-07-02,0,131,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03,1,522,4,0.007662835249042145,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
2019-07-04,1,213,4,0.018779342723004692,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
2019-07-05,0,172,1,0.005813953488372093,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-07-06,0,57,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,0,69,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,1,1293,9,0.006960556844547564,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,0,197,1,0.005076142131979695,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-07-10,0,98,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11,0,69,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,1,474,3,0.006329113924050633,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2019-07-13,0,57,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-14,0,29,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,0,42,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-16,0,110,2,0.01818181818181818,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,0,39,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,1,253,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-19,0,162,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-20,0,107,1,0.009345794392523364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,40,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2019-07-22,0,104,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-23,0,41,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-24,0,27,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,0,72,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26,1,641,8,0.0124804992199688,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0
2019-07-27,0,78,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,1,200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,0,57,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30,0,57,1,0.017543859649122806,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-07-31,1,47,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,0,763,13,0.017038007863695942,0,1,5,6,0,0,1,0,0,0,0,0,0,0,0
2019-08-02,0,59,1,0.01694915254237288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-03,0,39,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-04,0,26,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-05,0,35,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-06,3,393,7,0.017811704834605598,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0
2019-08-07,0,228,3,0.013157894736842105,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2019-08-08,0,38,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-09,0,29,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-10,0,13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,37,1,0.027027027027027032,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-08-12,1,107,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-13,0,95,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-14,0,31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-15,0,31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-16,0,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-17,0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
