,Name,Bio
@RyanMTate,Ryan M. Tate,
@JeffreyALoyd,Jeffrey Loyd,Currently @ Simplist. I guide connected professionals to the achievement of homeownership. NMLS ID: 410097.
@Today1984,SteveRogers inspired,"Truth and responsibility. Trust, but verify. Believer in the U.S. Constitution and the separation of powers. Anti-Tyranny."
@crumerin,Crumbelievable,Beauty Biz Entrepreneur/Professional Human/Esq.
@travis_cook_,Travis Cook,"Co-founder of @SolutionStream and CEO of @Appigo , #startup #investor, #mentor #BYU #tech #Entrepreneurship #travel #adventure #kiteboarding"
@mc,Matt Croydon,"(Sport) pilot. Developer at ForeFlight. Always hacking, always learning. Making little podcasts @thetinycast ."
@ChidiWilliams__,chidi,"Break the cycle, Morty"
@erinkhoo,Ξ,Product Growth Manager @indeed Prime #flowhacker #indeedprime #machinelearning
@wrigarth,Garth Wright,"Concerned local citizen, Dad, human."
@WillHaynes97,Will Haynes,"MS Finance | BS Mathematics | UT Austin | ""Envy is ignorance; imitation is suicide"""
@WolfeTyler,Tyler Wolfe,"Technical PM Robotics, Advanced Technology @AmazonRobotics | Previously Dir @Framebridge , @Teespring , Sr Eng @RyderSystemInc"
@Acelaotzen,Ace,₿itcoin | Game Theory | Nature | Philosophy | - - - 道
@ChrisCroy,Chris Croy,"Decent, but only in moderation. As seen at the end of @PeterSinger 's TED talk."
@RyanPrestel,Ryan Prestel,"I am forever a student, technologist and optimistic entrepreneur. Helping your business accomplish more, with less. #energy #sustainability #smartgrid"
@haleymbryant,Haley Bryant,"misc | VP of Ops @animalzco , a content marketing agency"
@tobthecreator,Tyler O'Briant,Robotics Engineer. Startup enthusiast. Chicken tender connoisseur.
@IHiranandani,Ishaan Hiranandani,@umich compsci/business ‘23
@Amrut_009,Amrut Rajkarne,"Late to twitter. Consultant @McKinsey turned VC @Sequoia . Looking to learn more about exciting, new age & value creating businesses in India. Studied @iitkgp"
@omarajame,Omar Ajame,"Founder & CEO of TEx, partner @tradersclubbr"
@SmartNoble_,Bob-manuel Anyanwu,Always keep a humble spirit. #DopeGeologist
@The_Albatross,Nathaniel Caucutt,Nate the Albatross What If? An American living in France. Former compliance and financial analyst.
@meterryjoshua,Terry Joshua,#Tech geek and veteran of mobile #app development who work with leading #development firm.
@ripal_sanghani,Ripal Sanghani,Sr. Product Manager @learnwithhomer | @Noteworth_ | @Parkwhiz | Founded @singulpay | Chicago native
@HarshiKhandelw1,chika_.,sh£liv£lik£ no #tomorrow but she knew.. that the best is yet to come... Just tryin' engineering
@PizzaVillian,Chris,Funny Trash V-Necks
@jacobtgraf,Jacob Graf,"leading product operations at @Divvy_HQ , can spot what device you're using from 15m away. (he/him)"
@ShadVaughn,Shadrach Vaughn,Learning to enjoy the ride.
@DomBokich,Dom Bokich,"I work in talent acquisition for a large non-profit, author of a job search book, mostly beach & mountain pics"
@hermithermitage,horizonsearcher,
@EthanBaugher,Ethan Baugher,"Full Stack Web Dev / Team Lead @lambdaschool for Data Science Labs18 Team. I've said things I disagree with, but communication solves conflict."
@ohandieze,Billy The Kiddominat,"This is the, end of us, sleeping with the moon and the stars."
@pratikjb,pratik,Venture Capital / growth investor; Views are my own.
@DanielSigal,Daniel Sigal,Love to swim & find new music; created & run @GenYWallStreet ; in school & working on becoming an investment banker; fan of @NeurosurgeryUSC & $MDT; @AEPi alum.
@knavarrete91,Kevin Navarrete,NYC. Think big. Do big. All things are possible through Christ.
@AdeoIa_Tunde,ADEOLA,Entrepreneur. God First. Family Next. #GGMU
@yendysthesage,ALI,Perfume enthusiast. Accra based waakye lover. Degenerate gambler. Addicted gamer. Elusive womanizer. First of my name and bookworm in my spare time.
@Naohme,Osa- Su.,"Social, funny & down 2 earth."
@takachan1019,Taka,髪短め
@AakashAdesara,Aakash Adesara,"Study @Cal Work @Boxlet_Storage @Nextdoor ( @KleinerPerkins fellow '19, @LightspeedVP fellow '17 ) Hyped about startups, social sciences, and philosophy."
@docmo_7,Docmo,"Medical Student about to start residency training. Special interest in Cardiology. Tech, Tesla, Sports and Space enthusiast! Mourinho through and through!!"
@mpanzz,Arthur H,Anyone can be a chef — cofounder @knowballco — amateur of Nash equilibrium and functionnalism
@AI_Jason9,Lambda_Jason,"Doing Full Stack Web Development for Lambda School. Previous purveyor of all things African. Geek, Martial Artist, Foodie, Language enthusiast."
@chandler_gentry,chandler gentry,"saas, pe...whatever. just out here trying to be a useful human. views are my own. very few views reflect a value statement."
@SlaveyBrandi,Jennifer Brandi Slavey,
@scottlinda44,scottlinda44,
@paulcharlesyi,Paul Yi,pharmacy @StLukesHealth .  developer.
@cjlise,Jose Lise,Curious about ways to improve life experience
